block_id,is_coastal,market_segment,room_type,room_view,city,month,capacity_quartile,treatment_hotel,treatment_price,treatment_occupancy,control_hotel,control_price,control_occupancy,price_diff_pct,match_distance,capacity,days_in_month,price_avg,occ_avg,price_pct_change,occ_pct_change,arc_elasticity,current_revenue,counterfactual_occ,counterfactual_revenue,opportunity
70,0,Urban/Madrid,apartment,city_view,madrid,2024-09-01 00:00:00,Q2,14695,133.565,0.15555556118488312,26842,90.74272058823529,0.18888889,38.18172580013343,1.7300440491684874,3.0,30,112.15386029411764,0.17222222685813904,0.38181725800133426,-0.19354837035041242,-0.5069136250246081,1542.6262797477816,0.15232975520464928,1831.1331378518084,288.50685810402683
75,0,Urban/Madrid,apartment,city_view,madrid,2024-10-01 00:00:00,Q2,26842,135.03142857142856,0.1505376398563385,23965,94.98067873303168,0.1827957,34.82490579105289,1.6699387676598392,3.0,31,115.00605365223012,0.1666666716337204,0.3482490579105289,-0.19354837556039167,-0.5557757333836565,1614.6715780905658,0.1474158919564643,1851.2373991061847,236.5658210156189
87,0,Provincial/Regional,apartment,city_view,other,2023-02-01 00:00:00,Q1,7342,220.73857142857145,0.125,6013,101.3825,0.14285715,74.10634200317318,1.1823905977904607,2.0,28,161.06053571428572,0.1339285746216774,0.7410634200317318,-0.1333333778381337,-0.17992168312993304,811.0600362572073,0.12380952298641192,1530.454085063313,719.3940488061056
88,0,Provincial/Regional,apartment,city_view,other,2023-02-01 00:00:00,Q2,8686,122.21363636363637,0.2946428656578064,9298,78.61617021276595,0.41964287,43.41732623666547,2.1382803069562497,4.0,28,100.41490328820116,0.3571428656578064,0.43417326236665466,-0.34999999165534995,-0.8061297689026707,3694.960074974222,0.272767866179347,3733.6267145999072,38.66663962568509
97,0,Provincial/Regional,apartment,city_view,other,2023-04-01 00:00:00,Q2,9100,148.45079540229884,0.625,9298,89.17072072072072,0.925,49.89453450914613,0.7073464015999369,4.0,30,118.81075806150977,0.7750000059604645,0.4989453450914613,-0.387096786598261,-0.7758300391144096,9897.95012755974,0.5669354797029842,10099.442748443022,201.49262088328214
104,0,Provincial/Regional,apartment,city_view,other,2023-05-01 00:00:00,Q4,8309,111.25181643625193,0.5,7656,67.52195718654433,0.5274193,48.922007253676284,2.569230321180947,20.0,31,89.38688681139813,0.5137096643447876,0.48922007253676286,-0.05337514668825095,-0.10910252805344578,22079.67890530274,0.4992682446545503,34437.589446189806,12357.910540887067
107,0,Provincial/Regional,apartment,city_view,other,2023-06-01 00:00:00,Q2,9100,104.25914285714286,0.5833333134651184,9298,88.96679487179487,0.65,15.82846295387163,0.8130012551268209,4.0,30,96.61296886446887,0.6166666448116302,0.1582846295387163,-0.1081081054957788,-0.6829981269238504,6939.409745463959,0.579729710163384,7253.054720454514,313.64497499055506
112,0,Provincial/Regional,apartment,city_view,other,2023-07-01 00:00:00,Q2,9100,115.3392957746479,0.5725806355476379,9298,83.845,0.58064514,31.623271957423544,0.7516670390278534,4.0,31,99.59214788732395,0.5766128897666931,0.31623271957423543,-0.013986000974368406,-0.044226925642604796,6036.839820088148,0.5725242404362013,8188.283295522505,2151.4434754343565
125,0,Provincial/Regional,apartment,city_view,other,2023-09-01 00:00:00,Q4,8309,112.82643676814983,0.5930555462837219,7656,61.12418798878196,0.62166667,59.444740542453935,2.9991126829925676,20.0,30,86.9753123784659,0.6073611080646515,0.5944474054245393,-0.04710726976415747,-0.0792454796409022,22799.322236400807,0.5923816503257798,40101.78648785631,17302.464251455505
129,0,Provincial/Regional,apartment,city_view,other,2023-10-01 00:00:00,Q2,16013,114.4261753590325,0.40645161271095276,13299,66.19,0.4516129,53.41290752408819,0.7133133141958675,5.0,31,90.30808767951625,0.42903225123882294,0.5341290752408819,-0.10526312864671124,-0.19707432814669298,4633.2998619169,0.40407470405266865,7166.692056332372,2533.3921944154717
